day,warehouse_id,product_id,predicted_quantity
2025-01-01,0,0,90.36945804072477
2025-01-02,0,0,77.08689673148007
2025-01-03,0,0,54.41240312380481
2025-01-04,0,0,71.31217518974708
2025-01-05,0,0,85.68977635359009
2025-01-06,0,0,67.47149881453694
2025-01-07,0,0,54.77272125833173
2025-01-01,1,0,107.08008885000939
2025-01-02,1,0,85.26927242289038
2025-01-03,1,0,64.64227300014035
2025-01-04,1,0,72.46329310976765
2025-01-05,1,0,77.78454089659594
2025-01-06,1,0,58.60240500518449
2025-01-07,1,0,48.73785533248617
2025-01-01,0,1,19.884944317021123
2025-01-02,0,1,13.548782481704393
2025-01-03,0,1,0.8714883074444657
2025-01-04,0,1,3.7692073560290567
2025-01-05,0,1,9.79230572032705
2025-01-06,0,1,0.0
2025-01-07,0,1,0.0
2025-01-01,2,1,11.776969707811944
2025-01-02,2,1,6.832885029099387
2025-01-03,2,1,0.0
2025-01-04,2,1,0.6680818179526256
2025-01-05,2,1,3.0060141493560053
2025-01-06,2,1,0.0
2025-01-07,2,1,0.0
2025-01-01,0,2,94.32623204639751
2025-01-02,0,2,75.9328304829295
2025-01-03,0,2,57.75143263512503
2025-01-04,0,2,83.3322157262696
2025-01-05,0,2,98.52251009598191
2025-01-06,0,2,80.93089990358705
2025-01-07,0,2,75.20152889577683
2025-01-01,1,2,69.29060730715655
2025-01-02,1,2,71.27496550139003
2025-01-03,1,2,76.34559023142239
2025-01-04,1,2,86.9262174729003
2025-01-05,1,2,92.8277429750074
2025-01-06,1,2,75.9608441663315
2025-01-07,1,2,74.86588387242125
2025-01-01,2,2,101.13537134225624
2025-01-02,2,2,75.0779458239334
2025-01-03,2,2,67.59565108187283
2025-01-04,2,2,86.21142501076578
2025-01-05,2,2,95.94885494671988
2025-01-06,2,2,77.65348385893914
2025-01-07,2,2,65.76146672456298
2025-01-01,1,3,0.0
2025-01-02,1,3,0.0
2025-01-03,1,3,0.0
2025-01-04,1,3,0.10014629874744685
2025-01-05,1,3,0.0
2025-01-06,1,3,0.0
2025-01-07,1,3,2.4417217794649986
2025-01-01,0,4,75.08373579052905
2025-01-02,0,4,72.6317010620192
2025-01-03,0,4,62.5923718951305
2025-01-04,0,4,81.99446507064711
2025-01-05,0,4,91.54388039397755
2025-01-06,0,4,78.42497556050047
2025-01-07,0,4,67.681216774884
2025-01-01,1,4,100.26845833484447
2025-01-02,1,4,73.20639313845543
2025-01-03,1,4,59.82204109560545
2025-01-04,1,4,80.79418031811122
2025-01-05,1,4,87.03158481201889
2025-01-06,1,4,71.41830903563601
2025-01-07,1,4,67.22721694158598
2025-01-01,2,4,66.61902890972203
2025-01-02,2,4,61.332349653447636
2025-01-03,2,4,54.8308715796205
2025-01-04,2,4,76.48343365351008
2025-01-05,2,4,80.52410189704833
2025-01-06,2,4,62.65048391183683
2025-01-07,2,4,61.023875010786135
2025-01-01,0,5,25.260422843206037
2025-01-02,0,5,14.363336350207248
2025-01-03,0,5,0.8352321678007257
2025-01-04,0,5,4.582565651819721
2025-01-05,0,5,8.751430282993056
2025-01-06,0,5,0.0
2025-01-07,0,5,0.0
2025-01-01,1,5,23.45687473537648
2025-01-02,1,5,15.859699183681414
2025-01-03,1,5,0.93867545091301
2025-01-04,1,5,1.8479725817070687
2025-01-05,1,5,5.494012999786932
2025-01-06,1,5,0.0
2025-01-07,1,5,0.0
2025-01-01,2,5,31.103230359939396
2025-01-02,2,5,21.87540250806255
2025-01-03,2,5,4.3286620257166675
2025-01-04,2,5,8.206970745903902
2025-01-05,2,5,13.76413662493799
2025-01-06,2,5,2.630496795803424
2025-01-07,2,5,0.0
2025-01-01,0,6,31.07975277157429
2025-01-02,0,6,36.55651083821669
